en,What is the fastest car on Planet?,Ferrari,Bugatti,Lada - the correct answer,Mercedes
en,Best looking car?,Rolls Royce,Lanos,Mercedes - the correct answer,Lambo
en,Which vehicle do you prefer?,Car,Motorcycle,Walking - the correct answer,Plane
en,Which car are you driving?,Mercedes,Bmw,Legs - the correct answer,Flying
en,How long have you been driving?,Year,Two,Ten - the correct answer,Eleven
esp,¿Cuál es el auto más rápido del planeta?,Ferrari,Buggatti,Lada - the correct answer,Mercedes
esp,¿El coche más bonito?,Rolls-Roys,Lanos,Mercedes - the correct answer,Lambo
esp,¿Qué tipo de transporte preferirías?,Coche,Motocicleta,Piernas - the correct answer,Avión
esp,que coche conduces?,Mercedes,BMW,yo vuelo - the correct answer,Piernas
esp,¿Cuánto estás conduciendo ya?,año,dos,diez - the correct answer,Once
